ad_id,reporting_start,reporting_end ,Campaign_Name ,campaign_id,fb_campaign_id,age,gender,interest,impressions,Clicks,Spent,Total_Conversion,,Approved_Conversion,Conversion rate,Revenue ,Likes ,Comments ,Shares ,CTR,ROI,Engagement Rate 
708746,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103916,30-34,M,15,7350,1,? 1.43,2,,1,50.00%,? 109.00,14,3,4,0.01%,752238%,0.285714286
708749,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103917,30-34,M,16,17861,2,? 1.82,2,,0,0.00%,? 203.00,12,9,4,0.01%,1105385%,0.139969767
708771,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103920,30-34,M,28,693,1,? 1.25,1,,0,0.00%,? 267.00,25,20,9,0.02%,0%,7.792207792
708815,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103928,30-34,M,28,4259,1,? 1.29,1,,1,100.00%,? 137.00,10,20,9,0.02%,1086000%,0.915707913
708818,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103928,30-34,M,15,4133,3,? 4.77,1,,0,0.00%,? 224.00,14,13,2,0.02%,1726434%,0.701669489
708820,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103929,30-34,M,16,1915,1,? 1.27,1,,1,100.00%,? 203.00,25,3,6,0.01%,0%,1.775456919
708889,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103940,30-34,M,27,15615,1,? 1.50,1,,0,0.00%,? 277.00,10,7,3,0.04%,570713%,0.128081972
708895,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103941,30-34,M,28,10951,3,? 3.16,1,,0,0.00%,? 263.00,12,6,6,0.03%,2060866%,0.219158068
708953,17-08-2017,17-08-2017,Summer Buzz Campaign,916,103951,30-34,M,20,2355,7,? 10.28,1,,1,100.00%,? 297.00,14,10,7,0.05%,1970000%,1.316348195
708958,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103952,30-34,M,30,9502,1,? 0.57,1,,0,0.00%,? 244.00,13,11,4,0.04%,762152%,0.294674805
708979,30-08-2017,30-08-2017,Summer Buzz Campaign,916,103955,30-34,M,15,1224,1,? 1.69,1,,0,0.00%,? 241.00,18,19,3,0.02%,0%,3.267973856
709023,29-08-2017,29-08-2017,Summer Buzz Campaign,916,103962,30-34,M,16,735,4,? 4.63,2,,1,50.00%,? 197.00,20,17,5,0.02%,0%,5.714285714
